name,link,knowledgeBaseLink,helpLink
Certiport,https://app.certiport.com/portal/login,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/484
Link It,https://acitech.linkit.com/,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/479
GMetrix,https://servicedesk.acitech.org/support/tickets/new,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/417
NJSLA,https://nj.pearsonaccessnext.com/cas/login,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/tickets/new
NJGPA,https://nj.pearsonaccessnext.com/cas/login,https://website-acit.github.io/acitech.org/ACT-KnowledgebaseRedirect.html,https://servicedesk.acitech.org/support/tickets/new
