name,link,iconName
Xprotect Web,https://milestoneweb.acitech.org/,videocam
MC Camera Locations,https://docs.google.com/drawings/d/1xKk1gGTzdSxUb5S6T0T7USSmN_QXLUjl5FCPAtxm7Jo/edit?usp=sharing,videocam
SW Camera Locations,https://docs.google.com/drawings/d/1k-2480FZ3QP6PpjbodMt0HfQBG3sHRkg0B5BkppMu54/edit?usp=sharing,videocam
Hallpass,https://starthallpass.com/,badge
ID Photo Capture,https://edutools.acitech.org/idphoto,badge
