name,link,knowledgeBaseLink,helpLink
Minecraft,https://servicedesk.acitech.org/support/tickets/new,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Minecraft,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/431
Naviance,https://succeed.naviance.com/auth/signin,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Naviance,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/476
New York Times,https://myaccount.nytimes.com/verification/edupass,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=NYT,https://servicedesk.acitech.org/support/tickets/new
Newsela,https://newsela.com/,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Newsela,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/504
Notable,https://servicedesk.acitech.org/support/tickets/new,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Notable,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/508
Noteflight,https://servicedesk.acitech.org/support/tickets/new,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Noteflight,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/499
Padlet,https://servicedesk.acitech.org/support/tickets/new,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Padlet,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/527
PaperCut,http://papercut.acitech.org:9191/,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=PaperCut,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/433
Pear Deck,https://servicedesk.acitech.org/support/tickets/new,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Pear,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/498
PrintDeploy,http://papercut.acitech.org:9191/print-deploy/client/macos,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Print%20Deploy,https://servicedesk.acitech.org/support/tickets/new
Quizet,https://servicedesk.acitech.org/support/tickets/new,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Quizet,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/497
Ring Central,https://service.ringcentral.com/,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Ring%20Central,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/441
Safe Schools,https://acvsd-nj.safeschools.com/login,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=Safe%20Schools,https://servicedesk.acitech.org/support/tickets/new
School Messenger,https://asp.schoolmessenger.com/acitech,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=School%20Messenger,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/473
SORA E-Library,https://soraapp.com/library/njssc,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=SORA,https://servicedesk.acitech.org/support/tickets/new
SWANK Streaming,https://digitalcampus.swankmp.net/acvsd387686,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/search/solutions?term=SWANK,https://atlanticcountyinstituteofthelpdesk.freshservice.com/support/catalog/items/512
